network, fROI, cond1, cond1_src, cond2, cond2_src, warning_message


























lang, 1-6, SProd, expt1_prod, fixation, expt1_prod , 
lang, 1, SProd, expt1_prod, fixation, expt1_prod , 
lang, 2, SProd, expt1_prod, fixation, expt1_prod , 
lang, 3, SProd, expt1_prod, fixation, expt1_prod , 
lang, 4, SProd, expt1_prod, fixation, expt1_prod , 
lang, 5, SProd, expt1_prod, fixation, expt1_prod , 
lang, 6, SProd, expt1_prod, fixation, expt1_prod , 
lang, 1-6, SProd, expt2_prod, fixation, expt2_prod , 
lang, 1, SProd, expt2_prod, fixation, expt2_prod , 
lang, 2, SProd, expt2_prod, fixation, expt2_prod , 
lang, 3, SProd, expt2_prod, fixation, expt2_prod , 
lang, 4, SProd, expt2_prod, fixation, expt2_prod , 
lang, 5, SProd, expt2_prod, fixation, expt2_prod , 
lang, 6, SProd, expt2_prod, fixation, expt2_prod , 
lang, 1-6, SProd, expt1_prod, N, expt1_langloc , 
lang, 1, SProd, expt1_prod, N, expt1_langloc , 
lang, 2, SProd, expt1_prod, N, expt1_langloc , 
lang, 3, SProd, expt1_prod, N, expt1_langloc , 
lang, 4, SProd, expt1_prod, N, expt1_langloc , 
lang, 5, SProd, expt1_prod, N, expt1_langloc , 
lang, 6, SProd, expt1_prod, N, expt1_langloc , 
lang, 1-6, SProd, expt2_prod, N, expt2_langloc , 
lang, 1, SProd, expt2_prod, N, expt2_langloc , 
lang, 2, SProd, expt2_prod, N, expt2_langloc , 
lang, 3, SProd, expt2_prod, N, expt2_langloc , 
lang, 4, SProd, expt2_prod, N, expt2_langloc , 
lang, 5, SProd, expt2_prod, N, expt2_langloc , 
lang, 6, SProd, expt2_prod, N, expt2_langloc , boundary (singular) fit
lang, 1-6, SProd, expt1_prod, VisEvSem, expt1_prod , 
lang, 1, SProd, expt1_prod, VisEvSem, expt1_prod , 
lang, 2, SProd, expt1_prod, VisEvSem, expt1_prod , 
lang, 3, SProd, expt1_prod, VisEvSem, expt1_prod , 
lang, 4, SProd, expt1_prod, VisEvSem, expt1_prod , boundary (singular) fit
lang, 5, SProd, expt1_prod, VisEvSem, expt1_prod , boundary (singular) fit
lang, 6, SProd, expt1_prod, VisEvSem, expt1_prod , 
lang, 1-6, SProd_typed, expt3_prod, fixation, expt3_prod , 
lang, 1, SProd_typed, expt3_prod, fixation, expt3_prod , 
lang, 2, SProd_typed, expt3_prod, fixation, expt3_prod , 
lang, 3, SProd_typed, expt3_prod, fixation, expt3_prod , 
lang, 4, SProd_typed, expt3_prod, fixation, expt3_prod , boundary (singular) fitModel failed to converge with 1 negative eigenvalue: -1.2e-04
lang, 5, SProd_typed, expt3_prod, fixation, expt3_prod , 
lang, 6, SProd_typed, expt3_prod, fixation, expt3_prod , Model failed to converge with 1 negative eigenvalue: -1.3e-02
lang, 1-6, SProd_typed, expt3_prod, N, expt3_langloc , 
lang, 1, SProd_typed, expt3_prod, N, expt3_langloc , 
lang, 2, SProd_typed, expt3_prod, N, expt3_langloc , 
lang, 3, SProd_typed, expt3_prod, N, expt3_langloc , 
