cond1,cond2,expt_data,ROI,network,p_value,cohen_d
WProd,NProd,expt1_prod/expt1_prod,1-6,lang,0.03731797039785464,0.333063329996079
WProd,NProd,expt2a_prod/expt2a_prod,1-6,lang,0.023458103840488756,0.37640871165972706
WProd_typed,NProd_typed,expt2b_prod/expt2b_prod,1-6,lang,0.5237182367351398,-0.10507437239792769
SProd,WProd,expt1_prod/expt1_prod,1-6,lang,4.274278128252986e-5,0.6676195914857209
SProd,WProd,expt2a_prod/expt2a_prod,1-6,lang,0.03205628580546198,0.3557851902113704
SProd_typed,WProd_typed,expt2b_prod/expt2b_prod,1-6,lang,1.2813844244091256e-6,0.8302199930712926
SProd,WProd,expt3_prod/expt3_prod,1-6,lang,8.479696517740869e-4,0.6091330549963487
SProd,WProd,expt1_MD_prod/expt1_MD_prod,1-20,MD,1.270923409671706e-14,-0.6920169389277937
SProd,NProd,expt1_MD_prod/expt1_MD_prod,1-20,MD,0.8775350518251825,-0.013444237338302406
SProd,WProd,expt2a_MD_prod/expt2a_MD_prod,1-20,MD,6.8319110739194084e-12,-0.6122604438416442
SProd,NProd,expt2a_MD_prod/expt2a_MD_prod,1-20,MD,0.015298608257101276,-0.21218416600666234
SProd,WProd,expt2b_MD_prod/expt2b_MD_prod,1-20,MD,0.010003480840242067,-0.22543027790168227
SProd,NProd,expt2b_MD_prod/expt2b_MD_prod,1-20,MD,0.00922160869155601,-0.22789826373147495
SProd,WProd,expt3_MD_prod/expt3_MD_prod,1-20,MD,3.952512365757299e-4,-0.3533282393256158
