cond1,cond2,expt_data,ROI,p_value_uncorrected,p_value_fdr_corrected,cohen_d
SProd,fixation,expt1_prod/expt1_prod,1,9.27258712543418e-9,1.854517425086836e-8,2.612728021106521
SProd,fixation,expt1_prod/expt1_prod,2,1.5634126140103322e-9,5.631991848292559e-9,2.828508642374754
SProd,fixation,expt1_prod/expt1_prod,3,3.8658315276112576e-8,5.7987472914168865e-8,2.4413744089076235
SProd,fixation,expt1_prod/expt1_prod,4,3.797422618064961e-7,4.556907141677953e-7,2.171349951854497
SProd,fixation,expt1_prod/expt1_prod,5,1.8773306160975195e-9,5.631991848292559e-9,2.808225745992626
SProd,fixation,expt1_prod/expt1_prod,6,4.110023097598659e-4,4.110023097598659e-4,1.352610340644212
SProd,fixation,expt2_prod/expt2_prod,1,0.009922728271031163,0.011907273925237395,1.6562419207094834
SProd,fixation,expt2_prod/expt2_prod,2,6.332085857619386e-4,0.0013320917256350938,2.448667460778991
SProd,fixation,expt2_prod/expt2_prod,3,7.378383490760548e-5,4.427030094456329e-4,3.1147829131916605
SProd,fixation,expt2_prod/expt2_prod,4,0.0020535542369836423,0.0030803313554754637,2.1053877360851234
SProd,fixation,expt2_prod/expt2_prod,5,6.660458628175469e-4,0.0013320917256350938,2.4336707451418604
SProd,fixation,expt2_prod/expt2_prod,6,0.024866105274454993,0.024866105274454993,1.392817751668362
SProd,N,expt1_prod/expt1_langloc,1,2.1993866205211834e-6,6.59815986156355e-6,2.241984012167998
SProd,N,expt1_prod/expt1_langloc,2,8.145945459917935e-8,4.887567275950761e-7,2.7142095655803757
SProd,N,expt1_prod/expt1_langloc,3,1.6538435621616263e-5,1.9846122745939514e-5,1.961304913835944
SProd,N,expt1_prod/expt1_langloc,4,8.903682622162439e-6,1.3355523933243658e-5,2.0470748128331224
SProd,N,expt1_prod/expt1_langloc,5,6.0321039074531534e-06,1.2064207814906307e-5,2.101144755080002
SProd,N,expt1_prod/expt1_langloc,6,3.5041594351853356e-5,3.5041594351853356e-5,1.8574916233648977
SProd,N,expt2_prod/expt2_langloc,1,0.0028734267912500105,0.0028734267912500105,2.2998535096660166
SProd,N,expt2_prod/expt2_langloc,2,0.0018613394455990091,0.0025180224305958805,2.4524094859927885
SProd,N,expt2_prod/expt2_langloc,3,1.9434441716574666e-4,0.00116606650299448,3.29958451989912
SProd,N,expt2_prod/expt2_langloc,4,0.0015435048211225849,0.0025180224305958805,2.519022241041765
SProd,N,expt2_prod/expt2_langloc,5,0.002098352025496567,0.0025180224305958805,2.410041311576925
SProd,N,expt2_prod/expt2_langloc,6,0.0012687423288150024,0.0025180224305958805,1.5750724322205805
SProd,NProd,expt1_prod/expt1_prod,1,3.4368790346841897e-4,3.4368790346841897e-4,1.5401485288583883
SProd,NProd,expt1_prod/expt1_prod,2,9.376403662260932e-6,2.8129210986782795e-5,2.039900266104607
SProd,NProd,expt1_prod/expt1_prod,3,4.173905454787066e-5,5.0086865457444786e-5,1.8333132295233427
SProd,NProd,expt1_prod/expt1_prod,4,2.693239922348308e-5,4.039859883522462e-5,1.8938736155896525
SProd,NProd,expt1_prod/expt1_prod,5,1.771353865188902e-5,3.542707730377804e-5,1.9518089484125658
SProd,NProd,expt1_prod/expt1_prod,6,9.367699215801987e-7,5.620619529481193e-6,2.3622297461219626
SProd,VisEvSem,expt1_prod/expt1_prod,1,1.1391693429340702e-7,2.2783386858681405e-7,2.665082824725414
SProd,VisEvSem,expt1_prod/expt1_prod,2,2.083938354380645e-7,3.1259075315709677e-7,2.5772515197828354
SProd,VisEvSem,expt1_prod/expt1_prod,3,1.9380326855280965e-6,2.3256392226337157e-6,2.2597355403400816
SProd,VisEvSem,expt1_prod/expt1_prod,4,3.150087015712023e-8,9.450261047136068e-8,1.7152999745893494
SProd,VisEvSem,expt1_prod/expt1_prod,5,1.8913291058245654e-9,1.1347974634947394e-8,1.9132656604300873
SProd,VisEvSem,expt1_prod/expt1_prod,6,0.007093481570894967,0.007093481570894967,1.098036415214685
