cond1,cond2,expt_data,ROI,p_value_uncorrected,p_value_fdr_corrected,cohen_d
SProd,WProd,expt2_prod/expt2_prod,1,8.686727345064604e-4,0.001737345469012921,2.727082870606801
SProd,WProd,expt2_prod/expt2_prod,2,0.1243493566709718,0.1243493566709718,1.0033090030805298
SProd,WProd,expt2_prod/expt2_prod,3,0.08105066096113203,0.09726079315335844,1.1582509519216864
SProd,WProd,expt2_prod/expt2_prod,4,0.0033076865309642866,0.00496152979644643,2.250924545074065
SProd,WProd,expt2_prod/expt2_prod,5,6.83277226517832e-4,0.001737345469012921,2.8157159515861423
SProd,WProd,expt2_prod/expt2_prod,6,1.5641873146516137e-5,9.385123887909682e-5,4.395543985893338
SProd_typed,WProd_typed,expt3_prod/expt3_prod,1,1.3283359934431813e-4,2.6566719868863627e-4,2.965599699565505
SProd_typed,WProd_typed,expt3_prod/expt3_prod,2,0.014194347483351825,0.014194347483351825,1.5697248938661894
SProd_typed,WProd_typed,expt3_prod/expt3_prod,3,0.0039050581069055967,0.004686069728286716,1.9421157326175813
SProd_typed,WProd_typed,expt3_prod/expt3_prod,4,1.2379486677465874e-4,2.6566719868863627e-4,2.988366970961705
SProd_typed,WProd_typed,expt3_prod/expt3_prod,5,1.5676599064396326e-5,9.405959438637795e-5,3.693407967525955
SProd_typed,WProd_typed,expt3_prod/expt3_prod,6,2.897900844540541e-4,4.346851266810812e-4,2.718360774382521
WProd_typed,NProd_typed,expt3_prod/expt3_prod,1,0.7910137423031888,0.8245713453707544,-0.15005290290383427
WProd_typed,NProd_typed,expt3_prod/expt3_prod,2,0.8245713453707544,0.8245713453707544,-0.1254674935056219
WProd_typed,NProd_typed,expt3_prod/expt3_prod,3,0.7941813429898102,0.8245713453707544,0.14771947814398306
WProd_typed,NProd_typed,expt3_prod/expt3_prod,4,0.004821778140225147,0.028930668841350884,-1.8811840004491704
WProd_typed,NProd_typed,expt3_prod/expt3_prod,5,0.15811238680126896,0.3781377670845216,-0.8307350310832975
WProd_typed,NProd_typed,expt3_prod/expt3_prod,6,0.1890688835422608,0.3781377670845216,-0.7688016864738401
