Condition,Item,ItemNum,List,Order,RT,Response,Run,SubjID,TrialNumber,TrialOnset,Unnamed: 11,Unnamed: 12
FIX,+,0,2,12,0,0,6,FED_20200130c_3T2,1,0,,
WCOMP,CHALK     STAIRS     FISH,40,2,12,0,0,6,FED_20200130c_3T2,2,14,,
WCOMP,CHALK     BENCH     MICROSCOPE     CHICKEN,38,2,12,0,0,6,FED_20200130c_3T2,3,17,,
WCOMP,HOLE     DEER     SWIMMING POOL,9,2,12,0,0,6,FED_20200130c_3T2,4,20,,
WCOMP,CHAIR     COCKTAIL     DEER,60,2,12,0,0,6,FED_20200130c_3T2,5,23,,
SCOMP,TWO GIRLS ARE WASHING A DOG,27,2,12,0,0,6,FED_20200130c_3T2,6,28,,
SCOMP,A LITTLE GIRL IS WALKING ON A TREADMILL,35,2,12,0,0,6,FED_20200130c_3T2,7,31,,
SCOMP,A YOUNG GIRL IS CLIMBING A FENCE,43,2,12,0,0,6,FED_20200130c_3T2,8,34,,
SCOMP,A GIRL IS PLAYING WITH A TOY TRAIN,14,2,12,0,0,6,FED_20200130c_3T2,9,37,,
WPROD,flower_19s-train_10n.jpg,99,2,12,0,f[-wet tra9j,6,FED_20200130c_3T2,10,42,,
WPROD,ocean-918999_960_720-pool_table_03s-shopping-874974_960_720-map_08s.jpg,78,2,12,0,-ceak =--[m ysj,6,FED_20200130c_3T2,11,49,,
WPROD,bubble_01b-hand_04s-canoe_12s.jpg,83,2,12,0,j9jj[rd iskg vs,6,FED_20200130c_3T2,12,56,,
WPROD,jump_rope_05s-book_08s-baby_05s-flower_19s.jpg,80,2,12,0,i9l-m t0=r jsj8 u[0e,6,FED_20200130c_3T2,13,63,,
EVSEM,4968012871.jpg,72,2,12,0,1,6,FED_20200130c_3T2,14,72,,
EVSEM,5505219003.jpg,128,2,12,0,2,6,FED_20200130c_3T2,15,75,,
EVSEM,5283494184.jpg,107,2,12,0,1,6,FED_20200130c_3T2,16,78,,
EVSEM,4753970630.jpg,122,2,12,0,1,6,FED_20200130c_3T2,17,81,,
SPROD,4436749692.jpg,68,2,12,0,ras9jfg a jew-0a-er,6,FED_20200130c_3T2,18,86,,
SPROD,5925544950.jpg,125,2,12,0,gu9su,6,FED_20200130c_3T2,19,93,,
