ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,H,1.220609,0.698974,0.186809
1,E,0.967335,0.518680,0.138623
2,H,1.334433,1.061764,0.283768
2,E,1.041763,0.854309,0.228324
3,H,0.668744,0.624149,0.166811
3,E,0.523501,0.497694,0.133014
4,H,0.148946,0.999077,0.267015
4,E,0.204981,0.839138,0.224269
5,H,-0.874247,1.148972,0.307076
5,E,-0.389467,0.778070,0.207948
6,H,-0.019631,1.444085,0.385948
6,E,0.111245,0.910228,0.243269
7,H,-1.656611,1.238407,0.330978
7,E,-1.032221,1.391900,0.372001
8,H,-0.056756,0.400653,0.107079
8,E,-0.083367,0.285850,0.076397
9,H,1.421164,1.873431,0.500696
9,E,1.223950,1.311549,0.350526
10,H,-0.506355,1.200670,0.320893
10,E,-0.264146,0.826032,0.220766
11,H,0.258820,0.642505,0.171717
11,E,0.180896,0.519893,0.138947
12,H,-0.499487,1.514089,0.404657
12,E,-0.125941,0.901882,0.241038
13,H,2.206904,1.492110,0.398783
13,E,1.895906,1.339925,0.358110
14,H,2.350911,1.829914,0.489065
14,E,1.989371,1.544616,0.412816
15,H,0.743338,0.872782,0.233261
15,E,0.412560,0.723328,0.193317
16,H,-1.289155,1.660022,0.443660
16,E,-0.680044,1.272935,0.340206
17,H,2.030726,1.975070,0.527860
17,E,1.701644,1.716487,0.458750
18,H,-0.692634,0.915830,0.244766
18,E,-0.466191,0.538884,0.144023
19,H,0.001784,1.315634,0.351618
19,E,0.005914,0.765409,0.204564
20,H,0.482898,1.809902,0.483717
20,E,0.498943,1.013051,0.270749
21,H,0.369720,0.509152,0.136077
21,E,0.252993,0.471500,0.126014
22,H,-0.356307,1.496637,0.399993
22,E,-0.153831,1.411248,0.377172
23,H,-0.366416,0.578276,0.154551
23,E,-0.253258,0.394421,0.105413
24,H,-0.038475,0.351456,0.093931
24,E,-0.026556,0.243371,0.065044
25,H,-1.126465,1.087921,0.290759
25,E,-0.607127,0.686545,0.183487
26,H,1.558029,1.668709,0.445981
26,E,1.252378,1.444732,0.386121
27,H,0.716803,1.391746,0.371960
27,E,0.620068,1.273848,0.340450
28,H,0.149436,0.559138,0.149436
28,E,0.118063,0.441750,0.118063
29,H,0.084809,0.843990,0.225566
29,E,0.275474,0.722107,0.192991
30,H,0.019823,0.909900,0.243181
30,E,-0.070426,0.832604,0.222523
31,H,-0.538923,0.493707,0.131949
31,E,-0.154308,0.399558,0.106786
32,H,0.359249,1.499872,0.400858
32,E,0.188486,1.346956,0.359989
33,H,1.270431,1.771651,0.473494
33,E,1.083910,1.527980,0.408370
34,H,0.115440,0.431936,0.115440
34,E,0.095993,0.359174,0.095993
35,H,0.071998,0.906080,0.242160
35,E,0.077799,0.642005,0.171583
36,H,0.169992,0.351615,0.093973
36,E,0.130159,0.283938,0.075885
37,H,0.061321,0.881402,0.235565
37,E,-0.005454,0.668668,0.178709
38,H,-0.023141,0.330956,0.088452
38,E,-0.018063,0.273571,0.073115
39,H,-0.038748,0.141594,0.037843
39,E,-0.032794,0.122370,0.032705
40,H,0.000000,0.000000,0.000000
40,E,0.000000,0.000000,0.000000
41,H,-0.072509,0.370257,0.098955
41,E,0.019465,0.111808,0.029882
42,H,0.018807,0.070368,0.018807
42,E,0.012689,0.047477,0.012689
43,H,0.000000,0.000000,0.000000
43,E,0.000000,0.000000,0.000000
44,H,0.000000,0.000000,0.000000
44,E,0.000000,0.000000,0.000000
45,H,0.000000,0.000000,0.000000
45,E,0.000000,0.000000,0.000000
46,H,0.000000,0.000000,0.000000
46,E,0.000000,0.000000,0.000000
47,H,0.000000,0.000000,0.000000
47,E,0.000000,0.000000,0.000000
48,H,0.000000,0.000000,0.000000
48,E,0.000000,0.000000,0.000000
