ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,SProd,3.020639,1.411642,0.364484
1,WProd,2.101996,1.384034,0.357356
1,SComp,1.119200,1.268383,0.327495
1,WComp,1.176795,1.443982,0.372835
1,Artic,2.005343,1.955328,0.504863
1,EvSem,-0.394059,0.795413,0.205375
2,SProd,3.802892,1.717480,0.443451
2,WProd,2.964959,1.730246,0.446748
2,SComp,1.580675,1.358951,0.350880
2,WComp,1.471211,1.593378,0.411408
2,Artic,2.025039,2.074396,0.535607
2,EvSem,0.227890,1.336237,0.345015
3,SProd,5.263871,2.918652,0.753593
3,WProd,4.456087,3.023872,0.780760
3,SComp,2.142073,1.738297,0.448826
3,WComp,1.959044,1.567832,0.404813
3,Artic,3.915179,3.045146,0.786253
3,EvSem,0.164748,1.226851,0.316771
4,SProd,1.603643,0.771639,0.199236
4,WProd,0.909546,0.742964,0.191832
4,SComp,0.700790,0.757247,0.195520
4,WComp,0.435974,0.683690,0.176528
4,Artic,0.741844,0.690186,0.178205
4,EvSem,-0.267959,0.424321,0.109559
5,SProd,1.998279,0.860163,0.222093
5,WProd,1.251624,0.898905,0.232096
5,SComp,1.129851,0.624838,0.161332
5,WComp,0.852016,0.658265,0.169963
5,Artic,1.079481,0.891779,0.230256
5,EvSem,-0.298011,0.538679,0.139086
6,SProd,0.954905,0.876786,0.226385
6,WProd,-0.136402,1.090737,0.281627
6,SComp,0.412722,0.450486,0.116315
6,WComp,0.066140,0.541109,0.139714
6,Artic,-0.788516,0.997636,0.257589
6,EvSem,0.530982,0.756332,0.195284
7,SProd,0.961954,1.279833,0.330451
7,WProd,0.847144,1.282901,0.331244
7,SComp,0.360841,0.788800,0.203667
7,WComp,0.455486,0.805864,0.208073
7,Artic,0.659390,1.310010,0.338243
7,EvSem,-0.257138,0.636565,0.164360
8,SProd,1.852550,1.877325,0.484723
8,WProd,1.926782,1.717119,0.443358
8,SComp,0.657093,1.197681,0.309240
8,WComp,0.688997,1.075364,0.277658
8,Artic,1.565248,1.416097,0.365635
8,EvSem,0.273993,1.575023,0.406669
9,SProd,2.730939,1.629877,0.420832
9,WProd,3.368915,1.906441,0.492241
9,SComp,0.735562,0.841004,0.217146
9,WComp,1.003581,0.992420,0.256242
9,Artic,3.207463,2.148731,0.554800
9,EvSem,0.478555,1.226261,0.316619
10,SProd,1.728783,1.055813,0.272610
10,WProd,1.225683,0.720756,0.186098
10,SComp,0.372890,0.763699,0.197186
10,WComp,0.238977,0.636881,0.164442
10,Artic,1.113287,0.816152,0.210730
10,EvSem,-0.304318,0.537541,0.138792
11,SProd,1.196885,0.572577,0.147839
11,WProd,1.016022,0.813990,0.210171
11,SComp,0.453360,0.396613,0.102405
11,WComp,0.389771,0.443944,0.114626
11,Artic,0.846632,0.887886,0.229251
11,EvSem,0.067038,0.437814,0.113043
12,SProd,1.156382,0.908031,0.234453
12,WProd,1.078906,1.087816,0.280873
12,SComp,0.118732,0.482486,0.124577
12,WComp,0.230780,0.620291,0.160159
12,Artic,-0.094058,1.068297,0.275833
12,EvSem,0.919544,0.829520,0.214181
