ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,SProd,2.774552,1.944968,0.519814
1,EvSem,0.876868,1.474700,0.394130
1,WProd,3.493139,2.266481,0.605742
1,SComp,1.182915,1.119461,0.299188
1,WComp,1.272694,1.276381,0.341127
1,Artic,4.292979,2.502699,0.668874
2,SProd,2.454093,1.343138,0.358969
2,EvSem,2.163382,1.228751,0.328398
2,WProd,2.835615,1.943322,0.519375
2,SComp,1.987936,1.347793,0.360213
2,WComp,1.887656,1.108206,0.296180
2,Artic,2.689622,1.696580,0.453430
3,SProd,2.195063,1.863774,0.498115
3,EvSem,0.697977,1.138651,0.304317
3,WProd,2.823417,2.221193,0.593639
3,SComp,0.656711,0.610039,0.163040
3,WComp,0.918043,1.158999,0.309756
3,Artic,3.641528,2.363410,0.631648
4,SProd,2.418106,1.756690,0.469495
4,EvSem,0.408013,1.558908,0.416636
4,WProd,2.935716,2.084907,0.557215
4,SComp,0.623007,1.231151,0.329039
4,WComp,0.924455,1.533299,0.409791
4,Artic,3.774900,2.340740,0.625589
5,SProd,1.941553,1.510160,0.403607
5,EvSem,0.966704,0.919621,0.245779
5,WProd,2.295061,1.665058,0.445005
5,SComp,0.599993,0.588842,0.157375
5,WComp,0.685993,0.763055,0.203935
5,Artic,2.581101,1.549946,0.414241
6,SProd,2.279972,1.602021,0.428158
6,EvSem,1.764985,0.982582,0.262606
6,WProd,2.899315,1.868067,0.499262
6,SComp,1.242244,1.119909,0.299308
6,WComp,1.030656,1.100968,0.294246
6,Artic,2.625119,1.795959,0.479990
7,SProd,1.241898,0.690674,0.184590
7,EvSem,0.791806,0.994956,0.265913
7,WProd,1.328473,0.854005,0.228242
7,SComp,0.415463,0.656927,0.175571
7,WComp,0.354330,0.458041,0.122417
7,Artic,1.541167,0.955592,0.255393
8,SProd,2.110187,1.572285,0.420211
8,EvSem,0.018947,1.183814,0.316388
8,WProd,2.500718,1.954000,0.522228
8,SComp,0.287448,0.847303,0.226451
8,WComp,0.417043,1.032131,0.275849
8,Artic,3.108382,2.240652,0.598840
9,SProd,1.084137,0.595391,0.159125
9,EvSem,0.473747,0.879149,0.234963
9,WProd,1.191115,0.860375,0.229945
9,SComp,0.220809,0.392245,0.104832
9,WComp,0.223885,0.363237,0.097079
9,Artic,1.479042,0.808447,0.216067
10,SProd,1.710330,0.958108,0.256065
10,EvSem,1.307346,0.739114,0.197537
10,WProd,2.018081,1.270086,0.339445
10,SComp,1.029674,0.619844,0.165660
10,WComp,1.015193,0.486726,0.130083
10,Artic,1.843958,0.954658,0.255143
11,SProd,1.446953,1.244872,0.332706
11,EvSem,0.094056,1.001434,0.267644
11,WProd,1.943488,1.548551,0.413868
11,SComp,0.459202,0.713901,0.190798
11,WComp,0.392398,0.836212,0.223487
11,Artic,2.360132,1.557119,0.416158
12,SProd,2.579058,1.415630,0.378343
12,EvSem,2.306218,1.349855,0.360764
12,WProd,2.754349,1.759381,0.470214
12,SComp,1.741333,1.249199,0.333863
12,WComp,1.666808,1.025270,0.274015
12,Artic,2.386362,1.630412,0.435746
13,SProd,1.128888,1.073055,0.286786
13,EvSem,-0.015035,0.926182,0.247532
13,WProd,1.411090,1.305053,0.348790
13,SComp,0.231270,0.585655,0.156523
13,WComp,0.334182,0.757814,0.202534
13,Artic,1.886427,1.512699,0.404286
14,SProd,1.137402,1.012607,0.270630
14,EvSem,0.122473,0.772378,0.206427
14,WProd,1.358301,1.307663,0.349488
14,SComp,0.220253,0.417184,0.111497
14,WComp,0.359364,0.534626,0.142885
14,Artic,1.793234,1.387278,0.370766
15,SProd,0.619008,0.595878,0.159255
15,EvSem,0.895526,0.853401,0.228081
15,WProd,1.163574,0.700338,0.187173
15,SComp,0.627714,0.735460,0.196560
15,WComp,0.814681,0.925127,0.247251
15,Artic,2.087164,1.274974,0.340751
16,SProd,2.467764,1.413390,0.377744
16,EvSem,2.149561,1.339960,0.358119
16,WProd,2.497920,1.799304,0.480884
16,SComp,1.277401,1.231921,0.329245
16,WComp,1.266927,0.916968,0.245070
16,Artic,1.868978,1.422447,0.380165
17,SProd,1.087621,1.010429,0.270049
17,EvSem,0.438158,0.836879,0.223665
17,WProd,1.330467,0.948860,0.253593
17,SComp,0.592935,0.723038,0.193240
17,WComp,0.604597,0.556384,0.148700
17,Artic,1.720193,1.225580,0.327550
18,SProd,2.060025,1.642853,0.439071
18,EvSem,1.239462,0.782169,0.209044
18,WProd,2.525771,1.956333,0.522852
18,SComp,0.558161,0.766860,0.204952
18,WComp,0.647189,0.864873,0.231147
18,Artic,2.338783,1.765534,0.471859
