ROI,Subject,Effect, LocalizerSize,EffectSize
1,770_FED_20191120c_3T2_PL2017,SProd, 627,1.166373
1,770_FED_20191120c_3T2_PL2017,EvSem, 627,0.650547
1,770_FED_20191120c_3T2_PL2017,WProd, 627,1.189344
1,770_FED_20191120c_3T2_PL2017,SComp, 627,0.592218
1,770_FED_20191120c_3T2_PL2017,WComp, 627,0.500807
1,770_FED_20191120c_3T2_PL2017,Artic, 627,1.262874
1,788_FED_20191120b_3T2_PL2017,SProd, 627,1.034764
1,788_FED_20191120b_3T2_PL2017,EvSem, 627,0.311344
1,788_FED_20191120b_3T2_PL2017,WProd, 627,0.378266
1,788_FED_20191120b_3T2_PL2017,SComp, 627,0.741386
1,788_FED_20191120b_3T2_PL2017,WComp, 627,0.802521
1,788_FED_20191120b_3T2_PL2017,Artic, 627,0.970190
1,803_FED_20191120d_3T2_PL2017,SProd, 627,2.252061
1,803_FED_20191120d_3T2_PL2017,EvSem, 627,0.863823
1,803_FED_20191120d_3T2_PL2017,WProd, 627,2.720099
1,803_FED_20191120d_3T2_PL2017,SComp, 627,0.628231
1,803_FED_20191120d_3T2_PL2017,WComp, 627,0.795634
1,803_FED_20191120d_3T2_PL2017,Artic, 627,3.871047
1,805_FED_20191204a_3T2_PL2017,SProd, 627,1.974863
1,805_FED_20191204a_3T2_PL2017,EvSem, 627,0.209196
1,805_FED_20191204a_3T2_PL2017,WProd, 627,1.629128
1,805_FED_20191204a_3T2_PL2017,SComp, 627,0.887685
1,805_FED_20191204a_3T2_PL2017,WComp, 627,0.527394
1,805_FED_20191204a_3T2_PL2017,Artic, 627,2.152831
1,806_FED_20191204b_3T2_PL2017,SProd, 627,0.714860
1,806_FED_20191204b_3T2_PL2017,EvSem, 627,0.915859
1,806_FED_20191204b_3T2_PL2017,WProd, 627,0.839486
1,806_FED_20191204b_3T2_PL2017,SComp, 627,0.733882
1,806_FED_20191204b_3T2_PL2017,WComp, 627,1.056093
1,806_FED_20191204b_3T2_PL2017,Artic, 627,0.883752
1,807_FED_20191204c_3T2_PL2017,SProd, 627,2.412136
1,807_FED_20191204c_3T2_PL2017,EvSem, 627,1.685768
1,807_FED_20191204c_3T2_PL2017,WProd, 627,2.643425
1,807_FED_20191204c_3T2_PL2017,SComp, 627,1.304265
1,807_FED_20191204c_3T2_PL2017,WComp, 627,0.898483
1,807_FED_20191204c_3T2_PL2017,Artic, 627,2.295637
1,797_FED_20200205a_3T2_PL2017,SProd, 627,0.669455
1,797_FED_20200205a_3T2_PL2017,EvSem, 627,0.936377
1,797_FED_20200205a_3T2_PL2017,WProd, 627,0.613708
1,797_FED_20200205a_3T2_PL2017,SComp, 627,1.025417
1,797_FED_20200205a_3T2_PL2017,WComp, 627,0.993230
1,797_FED_20200205a_3T2_PL2017,Artic, 627,0.893155
1,261_FED_20200205b_3T2_PL2017,SProd, 627,2.560832
