ROI,Subject,Effect, LocalizerSize,EffectSize
1,770_FED_20191120c_3T2_PL2017,S, 167,0.866311
1,770_FED_20191120c_3T2_PL2017,N, 167,1.355604
1,788_FED_20191120b_3T2_PL2017,S, 35,0.357869
1,788_FED_20191120b_3T2_PL2017,N, 35,0.285868
1,803_FED_20191120d_3T2_PL2017,S, 53,1.073308
1,803_FED_20191120d_3T2_PL2017,N, 53,0.876335
1,805_FED_20191204a_3T2_PL2017,S, 149,2.266425
1,805_FED_20191204a_3T2_PL2017,N, 149,2.617902
1,806_FED_20191204b_3T2_PL2017,S, 139,0.359115
1,806_FED_20191204b_3T2_PL2017,N, 139,0.373465
1,807_FED_20191204c_3T2_PL2017,S, 7,1.133364
1,807_FED_20191204c_3T2_PL2017,N, 7,1.145911
1,797_FED_20200205a_3T2_PL2017,S, 151,0.034559
1,797_FED_20200205a_3T2_PL2017,N, 151,0.000808
1,261_FED_20200205b_3T2_PL2017,S, 134,1.661837
1,261_FED_20200205b_3T2_PL2017,N, 134,1.692033
1,824_FED_20200130a_3T2_PL2017,S, 35,0.814528
1,824_FED_20200130a_3T2_PL2017,N, 35,0.921968
1,825_FED_20200130b_3T2_PL2017,S, 121,0.675910
1,825_FED_20200130b_3T2_PL2017,N, 121,0.914801
1,826_FED_20200130c_3T2_PL2017,S, 91,0.928140
1,826_FED_20200130c_3T2_PL2017,N, 91,0.968826
1,827_FED_20200130d_3T2_PL2017,S, 75,1.101288
1,827_FED_20200130d_3T2_PL2017,N, 75,1.520036
1,828_FED_20200205c_3T2_PL2017,S, 381,0.810986
1,828_FED_20200205c_3T2_PL2017,N, 381,0.934065
1,831_FED_20200213b_3T2_PL2017,S, 204,0.143357
1,831_FED_20200213b_3T2_PL2017,N, 204,0.030822
2,770_FED_20191120c_3T2_PL2017,S, 93,0.927164
2,770_FED_20191120c_3T2_PL2017,N, 93,1.625789
2,788_FED_20191120b_3T2_PL2017,S, 107,0.024541
2,788_FED_20191120b_3T2_PL2017,N, 107,-0.536172
2,803_FED_20191120d_3T2_PL2017,S, 97,1.380680
2,803_FED_20191120d_3T2_PL2017,N, 97,1.044501
2,805_FED_20191204a_3T2_PL2017,S, 59,1.158979
2,805_FED_20191204a_3T2_PL2017,N, 59,1.402434
2,806_FED_20191204b_3T2_PL2017,S, 43,0.304909
2,806_FED_20191204b_3T2_PL2017,N, 43,0.345648
2,807_FED_20191204c_3T2_PL2017,S, 29,0.840506
2,807_FED_20191204c_3T2_PL2017,N, 29,0.799109
2,797_FED_20200205a_3T2_PL2017,S, 54,-0.013739
2,797_FED_20200205a_3T2_PL2017,N, 54,-0.074736
2,261_FED_20200205b_3T2_PL2017,S, 61,0.669237
2,261_FED_20200205b_3T2_PL2017,N, 61,0.597524
2,824_FED_20200130a_3T2_PL2017,S, 17,1.336055
2,824_FED_20200130a_3T2_PL2017,N, 17,1.388123
2,825_FED_20200130b_3T2_PL2017,S, 100,0.619353
2,825_FED_20200130b_3T2_PL2017,N, 100,0.625759
2,826_FED_20200130c_3T2_PL2017,S, 60,0.797996
2,826_FED_20200130c_3T2_PL2017,N, 60,0.644611
2,827_FED_20200130d_3T2_PL2017,S, 136,1.691074
2,827_FED_20200130d_3T2_PL2017,N, 136,2.039882
2,828_FED_20200205c_3T2_PL2017,S, 249,0.704676
2,828_FED_20200205c_3T2_PL2017,N, 249,0.802015
2,831_FED_20200213b_3T2_PL2017,S, 122,0.134684
2,831_FED_20200213b_3T2_PL2017,N, 122,-0.003503
3,770_FED_20191120c_3T2_PL2017,S, 35,0.617630
3,770_FED_20191120c_3T2_PL2017,N, 35,0.836997
3,788_FED_20191120b_3T2_PL2017,S, 51,0.627189
3,788_FED_20191120b_3T2_PL2017,N, 51,0.754413
3,803_FED_20191120d_3T2_PL2017,S, 24,0.938066
3,803_FED_20191120d_3T2_PL2017,N, 24,0.435206
3,805_FED_20191204a_3T2_PL2017,S, 2,0.587356
3,805_FED_20191204a_3T2_PL2017,N, 2,0.670729
3,806_FED_20191204b_3T2_PL2017,S, 92,0.541002
3,806_FED_20191204b_3T2_PL2017,N, 92,0.495166
3,807_FED_20191204c_3T2_PL2017,S, 46,0.441331
3,807_FED_20191204c_3T2_PL2017,N, 46,0.506544
3,797_FED_20200205a_3T2_PL2017,S, 28,0.059114
3,797_FED_20200205a_3T2_PL2017,N, 28,0.112711
3,261_FED_20200205b_3T2_PL2017,S, 35,1.784813
3,261_FED_20200205b_3T2_PL2017,N, 35,1.718717
3,824_FED_20200130a_3T2_PL2017,S, 38,1.069738
3,824_FED_20200130a_3T2_PL2017,N, 38,1.168074
3,825_FED_20200130b_3T2_PL2017,S, 40,0.529274
3,825_FED_20200130b_3T2_PL2017,N, 40,0.688312
3,826_FED_20200130c_3T2_PL2017,S, 49,0.873044
3,826_FED_20200130c_3T2_PL2017,N, 49,0.935661
3,827_FED_20200130d_3T2_PL2017,S, 57,0.283240
3,827_FED_20200130d_3T2_PL2017,N, 57,0.649605
3,828_FED_20200205c_3T2_PL2017,S, 129,0.555866
3,828_FED_20200205c_3T2_PL2017,N, 129,0.635479
3,831_FED_20200213b_3T2_PL2017,S, 74,0.132402
3,831_FED_20200213b_3T2_PL2017,N, 74,0.124387
4,770_FED_20191120c_3T2_PL2017,S, 48,-0.619230
4,770_FED_20191120c_3T2_PL2017,N, 48,-0.634663
4,788_FED_20191120b_3T2_PL2017,S, 10,1.571955
4,788_FED_20191120b_3T2_PL2017,N, 10,-0.064640
4,803_FED_20191120d_3T2_PL2017,S, 46,1.194529
4,803_FED_20191120d_3T2_PL2017,N, 46,-0.042357
4,805_FED_20191204a_3T2_PL2017,S, 22,0.127634
4,805_FED_20191204a_3T2_PL2017,N, 22,0.677741
4,806_FED_20191204b_3T2_PL2017,S, 23,1.193169
4,806_FED_20191204b_3T2_PL2017,N, 23,1.016915
4,807_FED_20191204c_3T2_PL2017,S, 22,-0.259198
4,807_FED_20191204c_3T2_PL2017,N, 22,0.045743
4,797_FED_20200205a_3T2_PL2017,S, 100,-0.107828
4,797_FED_20200205a_3T2_PL2017,N, 100,-0.187866
4,261_FED_20200205b_3T2_PL2017,S, 16,2.363075
4,261_FED_20200205b_3T2_PL2017,N, 16,-0.430409
4,824_FED_20200130a_3T2_PL2017,S, 67,0.962021
4,824_FED_20200130a_3T2_PL2017,N, 67,0.745178
4,825_FED_20200130b_3T2_PL2017,S, 48,0.656958
4,825_FED_20200130b_3T2_PL2017,N, 48,0.917305
4,826_FED_20200130c_3T2_PL2017,S, 2,3.276733
4,826_FED_20200130c_3T2_PL2017,N, 2,2.746290
4,827_FED_20200130d_3T2_PL2017,S, 34,1.319667
4,827_FED_20200130d_3T2_PL2017,N, 34,0.430714
4,828_FED_20200205c_3T2_PL2017,S, 98,0.589390
4,828_FED_20200205c_3T2_PL2017,N, 98,0.704046
4,831_FED_20200213b_3T2_PL2017,S, 83,-0.264534
4,831_FED_20200213b_3T2_PL2017,N, 83,-0.932265
