ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,S,0.873357,0.590822,0.157904
1,N,0.974175,0.700524,0.187223
2,S,0.755437,0.522385,0.139613
2,N,0.764356,0.705371,0.188518
3,S,0.645719,0.432557,0.115606
3,N,0.695143,0.408303,0.109124
4,S,0.857453,1.086421,0.290358
4,N,0.356552,0.912908,0.243985
5,S,0.711699,0.675733,0.180597
5,N,0.118982,0.494662,0.132204
6,S,0.608636,0.864264,0.230984
6,N,0.295624,0.648856,0.173414
7,S,0.902802,0.960194,0.256623
7,N,0.206147,0.812587,0.217173
8,S,0.209372,0.258199,0.069007
8,N,0.066390,0.219025,0.058537
9,S,1.233141,1.000261,0.267331
9,N,0.311886,0.558058,0.149147
10,S,0.383216,0.664758,0.177664
10,N,0.359616,0.695163,0.185790
11,S,0.817423,0.854689,0.228425
11,N,0.942480,0.939269,0.251030
12,S,0.327739,0.543610,0.145286
12,N,0.163975,0.627621,0.167739
13,S,0.928462,1.939481,0.518348
13,N,0.905207,2.077824,0.555322
14,S,0.551198,1.087242,0.290578
14,N,0.506339,1.206083,0.322339
15,S,1.191082,1.014107,0.271031
15,N,0.718275,0.798817,0.213493
16,S,0.871013,1.084818,0.289930
16,N,0.334597,1.088258,0.290849
17,S,0.843209,1.494876,0.399522
17,N,0.874335,1.588542,0.424556
18,S,0.417228,0.680557,0.181887
18,N,0.249783,0.566035,0.151279
19,S,1.172786,1.475352,0.394304
19,N,0.618600,1.091722,0.291775
20,S,0.295554,0.934123,0.249655
20,N,0.260998,0.787489,0.210465
21,S,0.420470,0.735477,0.196564
21,N,0.470264,0.846510,0.226239
22,S,0.561127,1.403867,0.375199
22,N,0.153009,1.578952,0.421993
23,S,0.382868,0.585179,0.156396
23,N,0.011301,0.318779,0.085197
24,S,0.295369,0.451124,0.120568
24,N,0.222957,0.399021,0.106643
25,S,0.676342,1.482135,0.396117
25,N,0.307969,1.234396,0.329906
26,S,-0.052245,0.316703,0.084642
26,N,0.102910,0.506769,0.135440
27,S,1.192104,1.967970,0.525962
27,N,1.269997,2.068420,0.552808
28,S,-0.157696,0.327284,0.087470
28,N,-0.127262,0.381186,0.101876
29,S,0.214659,0.361725,0.096675
29,N,-0.001620,0.214542,0.057339
30,S,0.321553,0.638563,0.170663
30,N,0.420993,0.478299,0.127831
31,S,0.343837,0.597631,0.159724
31,N,0.111164,0.692584,0.185101
32,S,0.116003,0.498775,0.133303
32,N,0.079077,0.476192,0.127268
33,S,0.466643,1.064009,0.284368
33,N,0.567040,1.421828,0.379999
34,S,0.033308,0.124628,0.033308
34,N,0.048201,0.180351,0.048201
35,S,0.225833,0.681700,0.182192
35,N,0.097662,0.357865,0.095643
36,S,0.186823,0.575552,0.153823
36,N,0.137311,0.414080,0.110668
37,S,0.174533,0.613197,0.163884
37,N,0.108477,0.571918,0.152852
38,S,0.058435,0.154819,0.041377
38,N,0.100173,0.241757,0.064612
39,S,0.317493,0.658364,0.175955
39,N,0.082247,0.282396,0.075474
40,S,0.000000,0.000000,0.000000
40,N,0.000000,0.000000,0.000000
41,S,0.076052,0.172160,0.046012
41,N,-0.073102,0.137624,0.036782
42,S,0.111167,0.635211,0.169767
42,N,0.065507,0.554049,0.148076
43,S,0.000000,0.000000,0.000000
43,N,0.000000,0.000000,0.000000
44,S,0.000000,0.000000,0.000000
44,N,0.000000,0.000000,0.000000
45,S,0.000000,0.000000,0.000000
45,N,0.000000,0.000000,0.000000
46,S,0.000000,0.000000,0.000000
46,N,0.000000,0.000000,0.000000
47,S,0.000000,0.000000,0.000000
47,N,0.000000,0.000000,0.000000
48,S,0.000000,0.000000,0.000000
48,N,0.000000,0.000000,0.000000
