ROI,Effect,MeanEffect,StdEffect,StderrEffect
LH_postParietal,H,3.391711,2.329715,0.622643
LH_postParietal,E,2.441973,1.626950,0.434821
LH_midParietal,H,3.375397,2.756887,0.736809
LH_midParietal,E,2.287972,1.890630,0.505292
LH_antParietal,H,2.491760,1.752649,0.468415
LH_antParietal,E,1.742494,1.192341,0.318666
LH_supFrontal,H,2.405203,1.736484,0.464095
LH_supFrontal,E,1.606015,1.187697,0.317425
LH_Precentral_A_precG,H,2.894191,2.277927,0.608801
LH_Precentral_A_precG,E,1.932823,1.525212,0.407630
LH_Precentral_B_IFGop,H,2.499899,1.852172,0.495014
LH_Precentral_B_IFGop,E,1.513051,1.313300,0.350994
LH_midFrontal,H,1.983758,1.800102,0.481098
LH_midFrontal,E,0.999184,0.980566,0.262067
LH_midFrontalOrb,H,1.515353,1.235456,0.330189
LH_midFrontalOrb,E,0.701052,1.011672,0.270381
LH_insula,H,1.135131,0.847731,0.226566
LH_insula,E,0.605368,0.579420,0.154856
LH_medialFrontal,H,1.448629,1.271637,0.339859
LH_medialFrontal,E,0.756531,0.759499,0.202985
RH_postParietal,H,3.446190,2.220213,0.593377
RH_postParietal,E,2.521210,1.614443,0.431478
RH_midParietal,H,3.482614,3.195788,0.854110
RH_midParietal,E,2.450529,2.423573,0.647727
RH_antParietal,H,2.401231,1.739359,0.464863
RH_antParietal,E,1.647095,1.244359,0.332569
RH_supFrontal,H,3.059592,2.416042,0.645715
RH_supFrontal,E,1.891767,1.642039,0.438853
RH_Precentral_A_precG,H,2.742296,2.369835,0.633365
RH_Precentral_A_precG,E,1.818333,1.759742,0.470311
RH_Precentral_B_IFGop,H,2.803706,2.038573,0.544832
RH_Precentral_B_IFGop,E,1.828343,1.748442,0.467291
RH_midFrontal,H,2.251068,1.703351,0.455240
RH_midFrontal,E,1.077405,1.126894,0.301175
RH_midFrontalOrb,H,1.771090,1.695778,0.453216
RH_midFrontalOrb,E,0.621486,1.342882,0.358900
RH_insula,H,1.203450,0.899069,0.240286
RH_insula,E,0.568652,0.558473,0.149258
RH_medialFrontal,H,1.834078,1.522141,0.406809
RH_medialFrontal,E,0.864894,0.898083,0.240023
