ROI,Subject,Effect, LocalizerSize,EffectSize
1,770_FED_20191120c_3T2_PL2017,SProd, 37,1.158176
1,770_FED_20191120c_3T2_PL2017,WProd, 37,-0.048701
1,770_FED_20191120c_3T2_PL2017,SComp, 37,0.766911
1,770_FED_20191120c_3T2_PL2017,WComp, 37,0.017868
1,770_FED_20191120c_3T2_PL2017,Artic, 37,0.033625
1,770_FED_20191120c_3T2_PL2017,EvSem, 37,0.164080
1,788_FED_20191120b_3T2_PL2017,SProd, 37,0.210474
1,788_FED_20191120b_3T2_PL2017,WProd, 37,-0.502125
1,788_FED_20191120b_3T2_PL2017,SComp, 37,0.718335
1,788_FED_20191120b_3T2_PL2017,WComp, 37,0.479154
1,788_FED_20191120b_3T2_PL2017,Artic, 37,-1.393951
1,788_FED_20191120b_3T2_PL2017,EvSem, 37,0.407402
1,803_FED_20191120d_3T2_PL2017,SProd, 37,1.238465
1,803_FED_20191120d_3T2_PL2017,WProd, 37,0.463567
1,803_FED_20191120d_3T2_PL2017,SComp, 37,-0.034216
1,803_FED_20191120d_3T2_PL2017,WComp, 37,-0.307840
1,803_FED_20191120d_3T2_PL2017,Artic, 37,0.069215
1,803_FED_20191120d_3T2_PL2017,EvSem, 37,0.526115
1,805_FED_20191204a_3T2_PL2017,SProd, 37,-0.717151
1,805_FED_20191204a_3T2_PL2017,WProd, 37,-1.337891
1,805_FED_20191204a_3T2_PL2017,SComp, 37,0.214453
1,805_FED_20191204a_3T2_PL2017,WComp, 37,0.352857
1,805_FED_20191204a_3T2_PL2017,Artic, 37,-0.586487
1,805_FED_20191204a_3T2_PL2017,EvSem, 37,-0.690959
1,806_FED_20191204b_3T2_PL2017,SProd, 37,0.113480
1,806_FED_20191204b_3T2_PL2017,WProd, 37,0.096315
1,806_FED_20191204b_3T2_PL2017,SComp, 37,0.515286
1,806_FED_20191204b_3T2_PL2017,WComp, 37,-0.668744
1,806_FED_20191204b_3T2_PL2017,Artic, 37,-0.289944
1,806_FED_20191204b_3T2_PL2017,EvSem, 37,-0.233711
1,807_FED_20191204c_3T2_PL2017,SProd, 37,1.333201
1,807_FED_20191204c_3T2_PL2017,WProd, 37,-0.144582
1,807_FED_20191204c_3T2_PL2017,SComp, 37,0.901630
1,807_FED_20191204c_3T2_PL2017,WComp, 37,0.176032
1,807_FED_20191204c_3T2_PL2017,Artic, 37,0.234602
1,807_FED_20191204c_3T2_PL2017,EvSem, 37,0.272038
1,797_FED_20200205a_3T2_PL2017,SProd, 37,0.992932
1,797_FED_20200205a_3T2_PL2017,WProd, 37,0.400740
1,797_FED_20200205a_3T2_PL2017,SComp, 37,0.727510
1,797_FED_20200205a_3T2_PL2017,WComp, 37,0.275873
1,797_FED_20200205a_3T2_PL2017,Artic, 37,0.170822
1,797_FED_20200205a_3T2_PL2017,EvSem, 37,0.309480
1,261_FED_20200205b_3T2_PL2017,SProd, 37,0.129215
1,261_FED_20200205b_3T2_PL2017,WProd, 37,-2.003359
1,261_FED_20200205b_3T2_PL2017,SComp, 37,0.081337
1,261_FED_20200205b_3T2_PL2017,WComp, 37,0.226088
1,261_FED_20200205b_3T2_PL2017,Artic, 37,-1.241071
1,261_FED_20200205b_3T2_PL2017,EvSem, 37,-0.511381
1,824_FED_20200130a_3T2_PL2017,SProd, 37,2.643098
1,824_FED_20200130a_3T2_PL2017,WProd, 37,0.667021
1,824_FED_20200130a_3T2_PL2017,SComp, 37,-0.115624
1,824_FED_20200130a_3T2_PL2017,WComp, 37,0.472853
1,824_FED_20200130a_3T2_PL2017,Artic, 37,0.751366
1,824_FED_20200130a_3T2_PL2017,EvSem, 37,1.756909
1,825_FED_20200130b_3T2_PL2017,SProd, 37,3.258781
1,825_FED_20200130b_3T2_PL2017,WProd, 37,1.649183
1,825_FED_20200130b_3T2_PL2017,SComp, 37,2.154366
1,825_FED_20200130b_3T2_PL2017,WComp, 37,2.819230
1,825_FED_20200130b_3T2_PL2017,Artic, 37,1.886451
1,825_FED_20200130b_3T2_PL2017,EvSem, 37,-0.463152
1,826_FED_20200130c_3T2_PL2017,SProd, 37,-0.479272
1,826_FED_20200130c_3T2_PL2017,WProd, 37,-0.250967
1,826_FED_20200130c_3T2_PL2017,SComp, 37,-0.344500
1,826_FED_20200130c_3T2_PL2017,WComp, 37,-0.440903
1,826_FED_20200130c_3T2_PL2017,Artic, 37,-0.952218
1,826_FED_20200130c_3T2_PL2017,EvSem, 37,0.610701
1,827_FED_20200130d_3T2_PL2017,SProd, 37,5.412651
1,827_FED_20200130d_3T2_PL2017,WProd, 37,4.897042
1,827_FED_20200130d_3T2_PL2017,SComp, 37,2.664090
1,827_FED_20200130d_3T2_PL2017,WComp, 37,2.207470
1,827_FED_20200130d_3T2_PL2017,Artic, 37,4.782152
1,827_FED_20200130d_3T2_PL2017,EvSem, 37,4.639780
1,828_FED_20200205c_3T2_PL2017,SProd, 37,1.370137
1,828_FED_20200205c_3T2_PL2017,WProd, 37,-0.393679
1,828_FED_20200205c_3T2_PL2017,SComp, 37,-0.176875
1,828_FED_20200205c_3T2_PL2017,WComp, 37,-0.035047
1,828_FED_20200205c_3T2_PL2017,Artic, 37,0.957753
1,828_FED_20200205c_3T2_PL2017,EvSem, 37,-0.357814
1,831_FED_20200213b_3T2_PL2017,SProd, 37,1.312798
1,831_FED_20200213b_3T2_PL2017,WProd, 37,0.209993
1,831_FED_20200213b_3T2_PL2017,SComp, 37,0.359963
1,831_FED_20200213b_3T2_PL2017,WComp, 37,0.435898
1,831_FED_20200213b_3T2_PL2017,Artic, 37,-0.097659
1,831_FED_20200213b_3T2_PL2017,EvSem, 37,-0.332358
2,770_FED_20191120c_3T2_PL2017,SProd, 74,0.808165
2,770_FED_20191120c_3T2_PL2017,WProd, 74,-0.181174
2,770_FED_20191120c_3T2_PL2017,SComp, 74,1.015731
2,770_FED_20191120c_3T2_PL2017,WComp, 74,0.388658
2,770_FED_20191120c_3T2_PL2017,Artic, 74,-0.563427
2,770_FED_20191120c_3T2_PL2017,EvSem, 74,0.065226
2,788_FED_20191120b_3T2_PL2017,SProd, 74,1.681296
2,788_FED_20191120b_3T2_PL2017,WProd, 74,0.780818
2,788_FED_20191120b_3T2_PL2017,SComp, 74,1.206306
2,788_FED_20191120b_3T2_PL2017,WComp, 74,0.612251
2,788_FED_20191120b_3T2_PL2017,Artic, 74,0.139021
2,788_FED_20191120b_3T2_PL2017,EvSem, 74,-0.187657
2,803_FED_20191120d_3T2_PL2017,SProd, 74,2.665182
2,803_FED_20191120d_3T2_PL2017,WProd, 74,2.396721
2,803_FED_20191120d_3T2_PL2017,SComp, 74,0.517582
2,803_FED_20191120d_3T2_PL2017,WComp, 74,0.295600
2,803_FED_20191120d_3T2_PL2017,Artic, 74,2.784144
2,803_FED_20191120d_3T2_PL2017,EvSem, 74,1.514132
2,805_FED_20191204a_3T2_PL2017,SProd, 74,1.407221
2,805_FED_20191204a_3T2_PL2017,WProd, 74,1.139283
2,805_FED_20191204a_3T2_PL2017,SComp, 74,1.573983
2,805_FED_20191204a_3T2_PL2017,WComp, 74,1.380168
2,805_FED_20191204a_3T2_PL2017,Artic, 74,1.433716
2,805_FED_20191204a_3T2_PL2017,EvSem, 74,0.328631
2,806_FED_20191204b_3T2_PL2017,SProd, 74,0.247871
2,806_FED_20191204b_3T2_PL2017,WProd, 74,0.067136
2,806_FED_20191204b_3T2_PL2017,SComp, 74,0.589105
2,806_FED_20191204b_3T2_PL2017,WComp, 74,-1.029788
2,806_FED_20191204b_3T2_PL2017,Artic, 74,-0.197192
2,806_FED_20191204b_3T2_PL2017,EvSem, 74,0.317854
2,807_FED_20191204c_3T2_PL2017,SProd, 74,-0.597166
