ROI,Effect,MeanEffect,StdEffect,StderrEffect
LH_postParietal,H,3.899409,2.050495,0.618248
LH_postParietal,E,2.894774,1.361142,0.410400
LH_midParietal,H,3.505442,2.139463,0.645072
LH_midParietal,E,2.402656,1.589955,0.479390
LH_antParietal,H,2.653903,1.183506,0.356841
LH_antParietal,E,1.812890,0.869292,0.262101
LH_supFrontal,H,2.390949,0.735811,0.221855
LH_supFrontal,E,1.600135,0.723137,0.218034
LH_Precentral_A_precG,H,2.710585,1.021595,0.308022
LH_Precentral_A_precG,E,1.841959,0.551585,0.166309
LH_Precentral_B_IFGop,H,2.162453,1.075658,0.324323
LH_Precentral_B_IFGop,E,1.373628,0.589753,0.177817
LH_midFrontal,H,2.182497,1.210043,0.364842
LH_midFrontal,E,1.101942,0.507064,0.152886
LH_midFrontalOrb,H,2.310622,1.445757,0.435912
LH_midFrontalOrb,E,0.859549,1.166844,0.351817
LH_insula,H,1.478304,0.752762,0.226966
LH_insula,E,0.834529,0.404864,0.122071
LH_medialFrontal,H,1.487058,0.436822,0.131707
LH_medialFrontal,E,0.806890,0.423151,0.127585
RH_postParietal,H,3.884686,1.753375,0.528663
RH_postParietal,E,2.858376,1.047802,0.315924
RH_midParietal,H,3.235674,1.973502,0.595033
RH_midParietal,E,2.049812,1.301453,0.392403
RH_antParietal,H,3.110036,1.393785,0.420242
RH_antParietal,E,2.013009,0.836832,0.252314
RH_supFrontal,H,2.613803,0.813801,0.245370
RH_supFrontal,E,1.588380,0.485959,0.146522
RH_Precentral_A_precG,H,3.016322,1.722468,0.519344
RH_Precentral_A_precG,E,2.004218,1.236066,0.372688
RH_Precentral_B_IFGop,H,3.209531,1.843489,0.555833
RH_Precentral_B_IFGop,E,1.997989,1.124191,0.338956
RH_midFrontal,H,2.750926,1.405819,0.423870
RH_midFrontal,E,1.422705,0.742523,0.223879
RH_midFrontalOrb,H,2.504973,1.347938,0.406419
RH_midFrontalOrb,E,0.868053,0.792080,0.238821
RH_insula,H,1.598377,0.851072,0.256608
RH_insula,E,0.838647,0.430018,0.129655
RH_medialFrontal,H,2.070104,0.676544,0.203986
RH_medialFrontal,E,1.038294,0.578358,0.174382
