ROI,Subject,Effect, LocalizerSize,EffectSize
1,129_KAN_prod_08_PL2017,S, 37,-0.015921
1,129_KAN_prod_08_PL2017,N, 37,-0.711856
1,140_KAN_prod_01_PL2017,S, 37,1.150672
1,140_KAN_prod_01_PL2017,N, 37,0.297976
1,147_KAN_prod_04_PL2017,S, 37,0.845912
1,147_KAN_prod_04_PL2017,N, 37,-0.901580
1,165_KAN_prod_07_PL2017,S, 37,1.912071
1,165_KAN_prod_07_PL2017,N, 37,0.017262
1,072_KAN_prod_02_PL2017,S, 37,0.060003
1,072_KAN_prod_02_PL2017,N, 37,-0.620537
1,127_KAN_prod_03_PL2017,S, 37,1.896971
1,127_KAN_prod_03_PL2017,N, 37,-0.509942
1,050_FED_20150916b_3T2_PL2017,S, 37,2.470905
1,050_FED_20150916b_3T2_PL2017,N, 37,0.138314
1,189_FED_20150916a_3T2_PL2017,S, 37,0.273930
1,189_FED_20150916a_3T2_PL2017,N, 37,0.148107
1,214_FED_20151111b_3T1_PL2017,S, 37,1.811494
1,214_FED_20151111b_3T1_PL2017,N, 37,0.490188
1,215_FED_20160108a_3T1_PL2017,S, 37,0.503936
1,215_FED_20160108a_3T1_PL2017,N, 37,0.688984
1,326_FED_20150923a_3T2_PL2017,S, 37,0.804484
1,326_FED_20150923a_3T2_PL2017,N, 37,0.175175
1,327_FED_20150923b_3T2_PL2017,S, 37,1.765978
1,327_FED_20150923b_3T2_PL2017,N, 37,1.462406
2,129_KAN_prod_08_PL2017,S, 74,1.257410
2,129_KAN_prod_08_PL2017,N, 74,-0.204222
2,140_KAN_prod_01_PL2017,S, 74,1.341670
2,140_KAN_prod_01_PL2017,N, 74,0.502213
2,147_KAN_prod_04_PL2017,S, 74,1.380750
2,147_KAN_prod_04_PL2017,N, 74,-0.397001
2,165_KAN_prod_07_PL2017,S, 74,2.648406
2,165_KAN_prod_07_PL2017,N, 74,0.820547
2,072_KAN_prod_02_PL2017,S, 74,0.790915
2,072_KAN_prod_02_PL2017,N, 74,0.028967
2,127_KAN_prod_03_PL2017,S, 74,3.651157
2,127_KAN_prod_03_PL2017,N, 74,1.400780
