ROI,Subject,Effect, LocalizerSize,EffectSize
1,129_KAN_prod_08_PL2017,NOb, 37,0.442453
1,129_KAN_prod_08_PL2017,NEv, 37,0.822411
1,129_KAN_prod_08_PL2017,ROb, 37,-0.182537
1,129_KAN_prod_08_PL2017,REv, 37,0.448666
1,140_KAN_prod_01_PL2017,NOb, 37,0.912514
1,140_KAN_prod_01_PL2017,NEv, 37,1.044304
1,140_KAN_prod_01_PL2017,ROb, 37,0.494792
1,140_KAN_prod_01_PL2017,REv, 37,0.310481
1,147_KAN_prod_04_PL2017,NOb, 37,-2.115757
1,147_KAN_prod_04_PL2017,NEv, 37,-1.125104
1,147_KAN_prod_04_PL2017,ROb, 37,-1.854161
1,147_KAN_prod_04_PL2017,REv, 37,-2.028515
1,165_KAN_prod_07_PL2017,NOb, 37,0.401353
1,165_KAN_prod_07_PL2017,NEv, 37,1.463200
1,165_KAN_prod_07_PL2017,ROb, 37,-0.414062
1,165_KAN_prod_07_PL2017,REv, 37,-0.103176
1,072_KAN_prod_02_PL2017,NOb, 37,-2.014499
1,072_KAN_prod_02_PL2017,NEv, 37,-0.948329
1,072_KAN_prod_02_PL2017,ROb, 37,-1.712947
1,072_KAN_prod_02_PL2017,REv, 37,-0.766837
1,127_KAN_prod_03_PL2017,NOb, 37,-0.641702
1,127_KAN_prod_03_PL2017,NEv, 37,0.650756
1,127_KAN_prod_03_PL2017,ROb, 37,-0.534445
1,127_KAN_prod_03_PL2017,REv, 37,-0.065188
1,050_FED_20150916b_3T2_PL2017,NOb, 37,3.208182
1,050_FED_20150916b_3T2_PL2017,NEv, 37,2.880778
1,050_FED_20150916b_3T2_PL2017,ROb, 37,0.975275
1,050_FED_20150916b_3T2_PL2017,REv, 37,1.422249
1,189_FED_20150916a_3T2_PL2017,NOb, 37,2.366891
1,189_FED_20150916a_3T2_PL2017,NEv, 37,3.250178
1,189_FED_20150916a_3T2_PL2017,ROb, 37,-0.167989
1,189_FED_20150916a_3T2_PL2017,REv, 37,0.319609
1,214_FED_20151111b_3T1_PL2017,NOb, 37,1.800620
1,214_FED_20151111b_3T1_PL2017,NEv, 37,2.487080
1,214_FED_20151111b_3T1_PL2017,ROb, 37,1.070509
1,214_FED_20151111b_3T1_PL2017,REv, 37,1.580840
1,215_FED_20160108a_3T1_PL2017,NOb, 37,0.726582
1,215_FED_20160108a_3T1_PL2017,NEv, 37,0.887867
1,215_FED_20160108a_3T1_PL2017,ROb, 37,1.205665
1,215_FED_20160108a_3T1_PL2017,REv, 37,0.403180
1,326_FED_20150923a_3T2_PL2017,NOb, 37,-0.596512
1,326_FED_20150923a_3T2_PL2017,NEv, 37,0.624787
1,326_FED_20150923a_3T2_PL2017,ROb, 37,-0.598070
1,326_FED_20150923a_3T2_PL2017,REv, 37,0.387795
1,327_FED_20150923b_3T2_PL2017,NOb, 37,2.630399
1,327_FED_20150923b_3T2_PL2017,NEv, 37,3.045774
1,327_FED_20150923b_3T2_PL2017,ROb, 37,2.256398
1,327_FED_20150923b_3T2_PL2017,REv, 37,2.910492
2,129_KAN_prod_08_PL2017,NOb, 74,1.389948
2,129_KAN_prod_08_PL2017,NEv, 74,2.538451
2,129_KAN_prod_08_PL2017,ROb, 74,0.071768
2,129_KAN_prod_08_PL2017,REv, 74,0.591274
2,140_KAN_prod_01_PL2017,NOb, 74,1.943245
