ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,NOb,0.593377,1.728120,0.498865
1,NEv,1.256975,1.447262,0.417788
1,ROb,0.044869,1.210228,0.349363
1,REv,0.401633,1.224288,0.353422
2,NOb,1.447470,1.767055,0.510105
2,NEv,1.826523,1.422424,0.410618
2,ROb,0.562891,1.183286,0.341585
2,REv,0.802351,1.092831,0.315473
3,NOb,1.658209,1.559081,0.450068
3,NEv,2.167141,1.326766,0.383004
3,ROb,0.680402,0.910282,0.262776
3,REv,0.702472,0.821754,0.237220
4,NOb,0.453655,0.756115,0.218272
4,NEv,0.778588,0.705248,0.203587
4,ROb,0.460835,0.448373,0.129434
4,REv,0.641150,0.502478,0.145053
5,NOb,0.435966,1.034581,0.298658
5,NEv,1.223863,0.958972,0.276831
5,ROb,0.294959,0.636626,0.183778
5,REv,0.646712,0.556468,0.160639
6,NOb,0.155377,1.299017,0.374994
6,NEv,1.090104,1.492337,0.430801
6,ROb,-0.438545,0.589150,0.170073
6,REv,0.044461,0.560515,0.161807
7,NOb,0.503890,1.153354,0.332945
7,NEv,0.617921,1.040991,0.300508
7,ROb,0.099829,0.818754,0.236354
7,REv,0.307624,0.949041,0.273965
8,NOb,0.412616,1.228751,0.354710
8,NEv,0.575917,1.369906,0.395458
8,ROb,0.073529,0.787633,0.227370
8,REv,0.234289,0.787357,0.227290
9,NOb,1.361932,1.373340,0.396449
9,NEv,0.987123,1.207308,0.348520
9,ROb,0.912900,0.988847,0.285455
9,REv,0.881894,0.973089,0.280907
10,NOb,0.767373,1.146492,0.330964
10,NEv,0.824944,1.017685,0.293780
10,ROb,0.631121,0.635951,0.183583
10,REv,0.658095,0.647215,0.186835
11,NOb,-0.020652,0.764296,0.220633
11,NEv,0.389542,0.819869,0.236676
11,ROb,-0.035606,0.622503,0.179701
11,REv,0.187286,0.566650,0.163578
12,NOb,0.176135,1.771166,0.511292
12,NEv,0.788961,2.187847,0.631577
12,ROb,-0.546406,0.970492,0.280157
12,REv,-0.316343,0.683300,0.197252
