ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,SProd-SComp,1.758268,0.987040,0.183289
2,SProd-SComp,1.795538,0.945495,0.175574
3,SProd-SComp,1.518654,0.723970,0.134438
4,SProd-SComp,2.437119,1.535593,0.285153
5,SProd-SComp,1.609527,1.444361,0.268211
6,SProd-SComp,1.906547,1.282962,0.238240
7,SProd-SComp,2.062272,1.875105,0.348198
8,SProd-SComp,0.400780,0.675282,0.125397
9,SProd-SComp,1.959488,1.941216,0.360475
10,SProd-SComp,0.807690,1.266871,0.235252
11,SProd-SComp,1.039784,0.926063,0.171966
12,SProd-SComp,0.963622,1.387447,0.257643
13,SProd-SComp,1.222005,1.704474,0.316513
14,SProd-SComp,1.781770,1.980001,0.367677
15,SProd-SComp,0.979178,1.615521,0.299995
16,SProd-SComp,0.773388,1.544667,0.286837
17,SProd-SComp,1.467666,1.492321,0.277117
18,SProd-SComp,0.968991,1.161421,0.215670
19,SProd-SComp,1.452504,1.681702,0.312284
20,SProd-SComp,1.119109,2.055322,0.381664
21,SProd-SComp,0.568663,1.166753,0.216661
22,SProd-SComp,0.797550,1.436735,0.266795
23,SProd-SComp,0.514945,0.815460,0.151427
24,SProd-SComp,0.415631,0.826815,0.153536
25,SProd-SComp,0.379144,1.635882,0.303776
26,SProd-SComp,0.382673,1.231241,0.228636
27,SProd-SComp,0.510351,1.121091,0.208181
28,SProd-SComp,0.483474,1.058469,0.196553
29,SProd-SComp,0.469225,0.799387,0.148443
30,SProd-SComp,0.347048,1.013183,0.188143
31,SProd-SComp,0.519238,1.050676,0.195106
32,SProd-SComp,0.392594,0.962276,0.178690
33,SProd-SComp,0.959934,2.073784,0.385092
34,SProd-SComp,0.407621,0.716018,0.132961
35,SProd-SComp,0.891182,1.553514,0.288480
36,SProd-SComp,0.512444,0.962098,0.178657
37,SProd-SComp,0.852825,1.547422,0.287349
38,SProd-SComp,0.460888,0.726290,0.134869
39,SProd-SComp,0.301150,0.615698,0.114332
40,SProd-SComp,0.328083,0.875406,0.162559
41,SProd-SComp,0.432710,1.033687,0.191951
42,SProd-SComp,0.261042,1.460277,0.271167
43,SProd-SComp,0.369313,1.715502,0.318561
44,SProd-SComp,0.127407,0.403725,0.074970
45,SProd-SComp,0.042431,0.373065,0.069276
46,SProd-SComp,0.174326,0.563833,0.104701
47,SProd-SComp,0.164362,0.617589,0.114683
48,SProd-SComp,0.153005,0.921469,0.171113
